842;823;24838;
843;24838;24842;
844;24842;24837;
845;24837;847;
846;847;848;
847;848;849;
848;849;19412;
849;19412;850;
850;850;19413;
851;19413;19414;
852;19414;851;
853;851;19415;
854;19415;19416;
855;19416;852;
856;852;19417;
857;19417;19418;
858;19418;19419;
859;19419;853;
860;853;19420;
861;19420;854;
862;854;19421;
863;19421;855;
864;855;19422;
865;19422;19423;
866;19423;19424;
867;19424;856;
868;856;19425;
869;19425;857;
870;821;19428;
871;19428;833;
872;833;834;
873;834;19429;
874;19429;835;
875;835;19430;
876;19430;836;
877;836;19431;
878;19431;19432;
879;19432;837;
880;837;19433;
881;19433;838;
882;838;19434;
883;19434;19436;
884;19436;839;
885;839;840;
886;840;19444;
887;19444;841;
888;841;19445;
889;19445;19446;
890;19446;842;
891;842;843;
892;843;19447;
893;19447;844;
894;844;8287;
895;822;6886;
896;264;11605;
897;11605;8284;
898;857;858;
899;858;859;
900;859;860;
901;860;861;
902;861;19437;
903;19437;19435;
904;19435;839;
905;816;11592;
906;11592;817;
907;815;816;
908;812;813;
909;813;814;
910;814;815;
911;817;818;
912;818;19399;
913;19399;19400;
914;19400;19402;
915;19402;819;
916;819;19401;
917;19401;19403;
918;19403;19404;
919;19404;214;
920;875;874;
921;874;865;
922;865;866;
923;866;867;
924;867;868;
925;868;21171;
926;21171;17262;
927;17262;869;
928;869;870;
929;870;17261;
930;17261;871;
931;871;872;
932;888;876;
933;876;21165;
934;21165;3646;
935;3646;877;
936;877;878;
937;878;17259;
938;17259;17260;
939;17260;879;
940;879;17257;
941;17257;880;
942;880;881;
943;881;882;
944;882;883;
945;883;884;
946;884;17258;
947;17258;885;
948;888;20960;
949;20960;889;
950;889;891;
951;8268;890;
952;890;891;
953;893;8014;
954;1475;10526;
955;10526;13951;
956;13951;10622;
957;10622;10525;
958;10525;21322;
959;21322;901;
960;901;10524;
961;10524;8955;
962;8955;902;
963;902;903;
964;903;11697;
965;11697;904;
966;904;908;
967;908;905;
968;905;22294;
969;22294;2506;
970;2506;1951;
971;1951;7966;
972;7966;909;
973;907;9007;
974;9007;16430;
975;910;911;
976;914;18913;
977;18913;915;
978;13367;26792;
979;26792;18907;
980;18907;25445;
981;25445;18905;
982;18905;917;
983;910;21613;
984;21613;13366;
985;737;2053;
986;931;22306;
987;22306;1989;
988;1989;22307;
989;22307;22308;
990;22308;22309;
991;22309;932;
992;932;28139;
993;28139;742;
994;742;914;
995;914;23011;
996;23011;23010;
997;23010;1168;
998;1168;8041;
999;8041;8038;
1000;8038;2848;
1001;2848;18902;
1002;18902;24036;
1003;24036;924;
1004;9988;27535;
1005;27535;939;
1006;939;8981;
1007;8981;940;
1008;940;9971;
1009;9971;25885;
1010;25885;9937;
1011;9937;4348;
1012;935;27530;
1013;27530;969;
1014;969;27464;
1015;27464;27465;
1016;27465;970;
1017;970;971;
1018;971;10079;
1019;10079;27468;
1020;27468;972;
1021;972;19911;
1022;19911;973;
1023;973;27474;
1024;27474;974;
1025;974;975;
1026;975;27475;
1027;978;977;
1028;977;1005;
1029;1005;1006;
1030;1006;1007;
1031;1007;21210;
1032;21210;1008;
1033;1008;1009;
1034;1009;11956;
1035;4473;23940;
1036;23940;24092;
1037;24092;11866;
1038;11866;1015;
1039;1018;15928;
1040;15928;1019;
1041;10807;13975;
1042;13975;10806;
1043;10806;12678;
1044;12678;14564;
1045;1028;15853;
1046;15853;14568;
1047;2787;15062;
1048;15062;15063;
1049;15063;15064;
1050;15064;15393;
1051;15393;135;
1052;3741;3740;
1053;3740;3739;
1054;3739;3738;
1055;3738;7995;
1056;1066;21196;
1057;21196;21197;
1058;21197;21198;
1059;21198;11382;
1060;11382;21194;
1061;21194;1071;
1062;1071;1068;
1063;1068;21192;
1064;21192;11570;
1065;11570;1069;
1066;1067;21201;
1067;21201;11378;
1068;11378;21199;
1069;21199;1071;
1070;767;1067;
1071;1067;21200;
1072;21200;21195;
1073;21195;1066;
1074;759;8840;
1075;8840;11340;
1076;1079;20260;
1077;20260;1076;
1078;1076;4481;
1079;304;305;
1080;305;15300;
1081;15300;8489;
1082;8489;756;
1083;756;757;
1084;8820;28508;
1085;28508;1093;
1086;1093;13784;
1087;13784;1094;
1088;1094;1129;
1089;1100;20975;
1090;20975;1099;
